"year","SWE"
"1950",31.2216333608315
"1951",31.0533199861065
"1952",31.1798698360802
"1953",31.2607553014576
"1954",31.0591656946308
"1955",31.281477661067
"1956",31.4993985995519
"1957",31.8299405669945
"1958",31.3482471191093
"1959",31.347355837463
"1960",31.1843347081755
"1961",31.1759659096178
"1962",31.51119747087
"1963",31.4966017219277
"1964",31.1355410246417
"1965",31.1240891717351
"1966",31.2678328088109
"1967",31.2841342102845
"1968",31.4149240879745
"1969",31.0655285574932
"1970",31.0071604041517
"1971",31.5346876365718
"1972",31.4554228170947
"1973",31.2046056617213
"1974",31.0453450638722
"1975",31.389186582465
"1976",31.2193343791888
"1977",31.3295435749878
"1978",31.1994604912485
"1979",31.4070663105204
"1980",31.1956577631564
"1981",31.1716040758631
"1982",31.3944119756459
"1983",31.2546278321376
"1984",31.2333950647481
"1985",31.4095043939228
"1986",31.2808049679004
"1987",31.2001145393821
"1988",31.2604920630302
"1989",31.299399217782
"1990",31.5217717805756
"1991",31.5573044296722
"1992",31.3589904607595
"1993",31.5375243802207
"1994",31.3803413542466
"1995",31.3970184776694
"1996",31.1091242020723
"1997",31.3079484561005
"1998",31.1679968752887
"1999",31.0268561829604
"2000",31.6279454306985
"2001",31.487838433723
"2002",31.1615810212797
"2003",31.4069077050746
"2004",31.3449949101513
"2005",31.6783931249286
"2006",31.2302339956556
"2007",31.1309603570779
"2008",31.1850397848206
"2009",31.3694482390085
"2010",31.0590056172087
"2011",31.244622318605
"2012",31.3581004057601
"2013",31.2192909558882
"2014",31.5820981530476
"2015",31.1931463262686
"2016",31.2889636418421
"2017",31.1231430589718
"2018",31.5313450237364
"2019",31.1354228985441
"2020",31.5361356932515
"2021",31.2003372984613
"2022",31.8231783078975
"2023",31.600826352772
